domain_length,domain_label_count,has_ip_in_domain,has_hyphen,digit_ratio,tld_is_risky,domain_entropy,domain_risk_keyword_count,subdomain_count,high_risk_subdomain_count,high_risk_subdomain_ratio,max_subdomain_depth,a_record_count,mx_record_count,ns_record_count,txt_record_count,has_spf,has_dmarc,has_mx,ns_provider_diversity,domain_age_days,days_to_expiry,registrar_is_known,whois_email_count,endpoint_count,pct_200,pct_404,pct_error,avg_content_length,has_https,has_hsts,has_csp,has_xframe_options,has_xcontent_type,tech_count,email_count,email_domain_mismatch_count,social_profile_count,label,source,domain
15.0,5.0,1.0,1.0,0.1461592580192412,0.0,2.5342851952048546,3.0,1.0,0.0,0.734439075567209,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,19.0,221.0,0.0,1.0,5.0,0.22160394709644102,0.5486181580493497,0.08999239210197692,660.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1,synthetic,synthetic_malicious_62
12.0,3.0,0.0,0.0,0.014366575449118202,0.0,2.9033203808264343,0.0,66.0,2.0,0.006203797227616187,1.0,1.0,4.0,4.0,6.0,1.0,1.0,1.0,3.0,9940.0,3580.0,1.0,1.0,41.0,0.6425025393144463,0.1707965985807326,0.0016082359382706525,219274.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,4.0,0,synthetic_benign,synthetic_benign_17
18.0,2.0,0.0,1.0,0.008625787608839237,0.0,2.2461267222996044,0.0,49.0,1.0,0.010740740999245924,3.0,3.0,4.0,2.0,13.0,1.0,1.0,1.0,2.0,875.0,730.0,1.0,4.0,27.0,0.6773083662526328,0.15647954637312267,0.0262410013694898,99208.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,0,synthetic_benign,synthetic_benign_26
24.0,3.0,0.0,0.0,0.24683508235541823,0.0,3.614573516398546,1.0,3.0,0.0,0.20399651648602923,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,95.0,339.0,0.0,0.0,2.0,0.5023253089252726,0.49379184441382146,0.20143515667062356,1777.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1,synthetic,synthetic_malicious_59
11.0,3.0,0.0,1.0,0.020763499591548048,0.0,2.069606836622765,0.0,57.0,3.0,0.04198375955146052,1.0,2.0,8.0,8.0,12.0,1.0,1.0,1.0,4.0,7741.0,540.0,1.0,4.0,12.0,0.8378275820312044,0.13448889125297633,0.04427835806519815,55043.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,0,synthetic_benign,synthetic_benign_111
25.0,2.0,0.0,0.0,0.3269832231187616,1.0,3.0737587946265363,3.0,1.0,2.0,0.375288101724395,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,27.0,177.0,0.0,0.0,1.0,0.21921975172991134,0.5194758660864052,0.18684317050229074,514.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1,synthetic,synthetic_malicious_40
25.0,5.0,0.0,0.0,0.06019108363401122,1.0,3.16102966418602,2.0,3.0,1.0,0.6378035070631399,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,104.0,58.0,0.0,1.0,5.0,0.46248207717462486,0.35775142071834654,0.1607656427146161,1706.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1,synthetic,synthetic_malicious_147
16.0,4.0,0.0,0.0,0.19634716016720682,0.0,4.304621654148395,2.0,2.0,0.0,0.6104971001109029,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,60.0,140.0,0.0,0.0,1.0,0.24067816918676418,0.4987593855050931,0.2528548940738887,3855.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,synthetic,synthetic_malicious_48
32.0,5.0,1.0,0.0,0.2934041860985241,1.0,3.353667163097038,1.0,0.0,1.0,0.09439404545513819,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,57.0,241.0,0.0,0.0,1.0,0.5366279047721134,0.3249612004035037,0.01706509681778774,464.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1,synthetic,synthetic_malicious_294
15.0,3.0,0.0,1.0,0.022566997180948872,0.0,1.939565767933605,0.0,19.0,1.0,0.016737377911087408,3.0,3.0,7.0,2.0,6.0,1.0,1.0,1.0,4.0,2148.0,2629.0,1.0,4.0,28.0,0.5594383938946027,0.13182329593138878,0.03700925868484186,494063.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,12.0,0,synthetic_benign,synthetic_benign_64
23.0,5.0,0.0,1.0,0.1204174597543021,1.0,4.127675481565735,1.0,0.0,2.0,0.019394443208668566,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,86.0,124.0,0.0,1.0,2.0,0.5162014544288619,0.4851850346758057,0.14211986102353844,2884.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1,synthetic,synthetic_malicious_291
18.0,3.0,0.0,1.0,0.2610447051527049,0.0,4.022727940467533,3.0,3.0,1.0,0.4834972407189227,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,90.0,199.0,0.0,0.0,4.0,0.5352707553591887,0.40090417834080816,0.25062634770863623,1137.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1,synthetic,synthetic_malicious_235
11.0,3.0,0.0,0.0,0.049455494851467184,0.0,2.9853582376723717,0.0,63.0,2.0,0.021375296552916707,2.0,1.0,4.0,7.0,13.0,1.0,1.0,1.0,2.0,4423.0,1123.0,1.0,4.0,24.0,0.8803436766534788,0.06124381758491318,0.02452883143537453,417655.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,11.0,0,synthetic_benign,synthetic_benign_63
27.0,3.0,0.0,1.0,0.18525184442042214,1.0,3.1576827253329007,3.0,2.0,0.0,0.13713892760463456,2.0,3.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,71.0,135.0,0.0,0.0,4.0,0.12872659030799663,0.4592658400947119,0.051547715053197884,3365.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,synthetic,synthetic_malicious_223
35.0,5.0,1.0,1.0,0.2507202789732939,1.0,3.7590808497763097,0.0,1.0,0.0,0.1330730930463054,0.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,20.0,140.0,0.0,1.0,4.0,0.18528339199484814,0.6151817873521404,0.18025161432336,4773.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1,synthetic,synthetic_malicious_115
26.0,3.0,0.0,0.0,0.16587328781395583,1.0,4.400616552720304,3.0,0.0,0.0,0.5351507743955093,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,97.0,161.0,0.0,1.0,1.0,0.555667963314309,0.6110545321199831,0.11248741264859374,4167.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,synthetic,synthetic_malicious_108
7.0,3.0,0.0,0.0,0.013386250697286356,0.0,1.7401948541013086,0.0,86.0,3.0,0.02574949472683761,3.0,4.0,6.0,2.0,8.0,1.0,0.0,1.0,3.0,1282.0,2796.0,1.0,1.0,41.0,0.7839620752565428,0.13012559127586262,0.029978334707428164,291887.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,5.0,0,synthetic_benign,synthetic_benign_57
8.0,3.0,0.0,0.0,0.04657228879825443,0.0,2.052428633785506,0.0,30.0,0.0,0.03335343945380092,2.0,3.0,2.0,4.0,9.0,1.0,1.0,1.0,2.0,7250.0,140.0,1.0,1.0,30.0,0.817474420320444,0.17042869410590694,0.015334364297954635,42493.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,6.0,0,synthetic_benign,synthetic_benign_80
5.0,2.0,0.0,0.0,0.0005329793484424306,0.0,2.4120314718090095,0.0,91.0,2.0,0.012825948483832506,2.0,2.0,4.0,4.0,5.0,1.0,0.0,1.0,3.0,6372.0,2268.0,1.0,1.0,22.0,0.8379817965185503,0.1319354783456985,0.02681846743809681,149845.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,11.0,0,synthetic_benign,synthetic_benign_144
10.0,2.0,0.0,0.0,0.0,0.0,2.2516291673878226,0.0,6480.0,94.0,0.014506172839506172,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8888.0,3165.0,0.0,0.0,1.0,0.0,1.0,0.0,1557.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0,osint_scan,bharat.com
27.0,3.0,0.0,1.0,0.2945256649031533,1.0,4.271083636142904,1.0,2.0,2.0,0.4301900344603633,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,25.0,288.0,0.0,1.0,4.0,0.32546799169793394,0.3263833090937588,0.1518193715318333,3786.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,synthetic,synthetic_malicious_225
10.0,2.0,0.0,0.0,0.03606599825167817,0.0,1.8078234212319497,0.0,64.0,3.0,0.030404076700174733,2.0,4.0,2.0,3.0,11.0,1.0,1.0,1.0,3.0,8119.0,265.0,1.0,4.0,17.0,0.8902187541930753,0.08575830295176064,0.02240850681422374,36509.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,9.0,0,synthetic_benign,synthetic_benign_69
35.0,5.0,0.0,0.0,0.381737011830057,0.0,3.3338447037907217,1.0,1.0,2.0,0.10169918230035542,2.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,7.0,110.0,0.0,1.0,1.0,0.40080010686933176,0.40430992957329803,0.03625992842671117,4683.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,synthetic,synthetic_malicious_205
25.0,2.0,0.0,0.0,0.16372041390535563,0.0,3.968639119071936,1.0,1.0,0.0,0.6412463703372718,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,44.0,152.0,0.0,1.0,1.0,0.11025601793954456,0.3041113703062411,0.11655087049192013,3296.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1,synthetic,synthetic_malicious_194
